CGid,SYMBOL,seqnames,start,annotation,distanceToTSS,GENENAME,genic,Promoter,main_Categories
cg17504468,SDCCAG8,chr1,243476144.0,"Exon (ENST00000463042.1/10806, exon 3 of 3)",220103.0,serologically defined colon cancer antigen 8,True,False,Exon
cg17718834,PEX14,chr1,10623271.0,3' UTR,148321.0,peroxisomal biogenesis factor 14,True,False,threeUTR
cg17818266,AMPD1,chr1,114688723.0,"Exon (ENST00000637080.1/270, exon 2 of 14)",6749.0,adenosine monophosphate deaminase 1,True,False,Exon
cg18481180,HIPK1,chr1,113963552.0,"Intron (ENST00000426820.7/204851, intron 10 of 15)",34228.0,homeodomain interacting protein kinase 1,True,False,Intron
cg18543660,LINC02609,chr1,90834002.0,"Intron (ENST00000671059.1/105378853, intron 1 of 2)",17525.0,long intergenic non-protein coding RNA 2609,True,False,Intron
cg19291010,BCL9,chr1,147612914.0,"Exon (ENST00000234739.8/607, exon 5 of 10)",71413.0,BCL9 transcription coactivator,True,False,Exon
cg19411464,SRSF11,chr1,70231873.0,5' UTR,26191.0,serine and arginine rich splicing factor 11,True,False,fiveUTR
cg19573972,RPS6KC1,chr1,213232174.0,"Exon (ENST00000543354.5/26750, exon 9 of 14)",180941.0,ribosomal protein S6 kinase C1,True,False,Exon
cg19707231,IPO9-AS1,chr1,201788630.0,3' UTR,40928.0,IPO9 antisense RNA 1,True,False,threeUTR
cg19719141,MKNK1-AS1,chr1,46526544.0,Distal Intergenic,-12067.0,MKNK1 antisense RNA 1,False,False,Intergenic_upstream
cg19912994,KCNC4,chr1,110211633.0,Promoter (<=1kb),290.0,potassium voltage-gated channel subfamily C member 4,True,True,Exon
cg20146241,RCAN3AS,chr1,24535114.0,Promoter (<=1kb),285.0,RCAN3 antisense RNA,True,True,Exon
cg21102110,LINC01739,chr1,62994313.0,"Intron (ENST00000641890.1/105378769, intron 1 of 1)",16835.0,long intergenic non-protein coding RNA 1739,True,False,Intron
cg21102477,CSMD2,chr1,34165243.0,Promoter (<=1kb),30.0,CUB and Sushi multiple domains 2,True,True,fiveUTR
cg21180487,TPM3,chr1,154171419.0,3' UTR,11829.0,tropomyosin 3,True,False,threeUTR
cg21197642,TTC34,chr1,2892405.0,Distal Intergenic,-90689.0,tetratricopeptide repeat domain 34,False,False,Intergenic_upstream
cg21278764,UTP11,chr1,38016093.0,"Intron (ENST00000483182.5/51118, intron 2 of 5)",6835.0,UTP11 small subunit processome component,True,False,Intron
cg21673805,POU2F1,chr1,167220917.0,Promoter (<=1kb),41.0,POU class 2 homeobox 1,True,True,fiveUTR
cg21847954,RNF220,chr1,44536751.0,"Intron (ENST00000355387.6/55182, intron 2 of 14)",131557.0,ring finger protein 220,True,False,Intron
cg22354333,CDKN2C,chr1,50977563.0,Distal Intergenic,7318.0,cyclin dependent kinase inhibitor 2C,False,False,Intergenic_downstream
cg22398409,PKN2-AS1,chr1,88150788.0,"Intron (ENST00000642677.1/ENST00000642677.1, intron 1 of 6)",420072.0,PKN2 antisense RNA 1,True,False,Intron
cg22409694,LMO4,chr1,87338099.0,"Intron (ENST00000370544.10/8543, intron 2 of 4)",9219.0,LIM domain only 4,True,False,Intron
cg22432362,LMO4,chr1,87329763.0,Promoter (<=1kb),883.0,LIM domain only 4,True,True,Promoter
cg22621796,RNF220,chr1,44565975.0,"Intron (ENST00000355387.6/55182, intron 2 of 14)",160781.0,ring finger protein 220,True,False,Intron
cg22673296,PLXNA2,chr1,208268218.0,"Exon (ENST00000652300.1/ENST00000652300.1, exon 2 of 2)",-23835.0,plexin A2,True,False,Exon
cg22805522,LINC00466,chr1,63318178.0,Promoter (<=1kb),-905.0,long intergenic non-protein coding RNA 466,False,True,Promoter
cg22903204,CASZ1,chr1,10672589.0,"Intron (ENST00000377022.8/54897, intron 4 of 20)",124056.0,castor zinc finger 1,True,False,Intron
cg23088328,PRRX1,chr1,170661790.0,Promoter (<=1kb),-937.0,paired related homeobox 1,False,True,Promoter
cg23287176,CASZ1,chr1,10672330.0,"Intron (ENST00000377022.8/54897, intron 4 of 20)",124315.0,castor zinc finger 1,True,False,Intron
cg23298936,CASZ1,chr1,10713154.0,"Intron (ENST00000377022.8/54897, intron 2 of 20)",83491.0,castor zinc finger 1,True,False,Intron
cg23337318,NFIA,chr1,61157563.0,"Intron (ENST00000371191.5/4774, intron 2 of 10)",292304.0,nuclear factor I A,True,False,Intron
cg23405931,CDC7,chr1,91513975.0,"Exon (ENST00000234626.11/8317, exon 8 of 12)",13124.0,cell division cycle 7,True,False,Exon
cg23692250,NFIA-AS2,chr1,60936285.0,"Intron (ENST00000371191.5/4774, intron 1 of 10)",34459.0,NFIA antisense RNA 2,True,False,Intron
cg23778391,CASZ1,chr1,10698402.0,"Intron (ENST00000377022.8/54897, intron 3 of 20)",98243.0,castor zinc finger 1,True,False,Intron
cg24148137,FAM78B,chr1,166166208.0,Promoter (<=1kb),16.0,family with sequence similarity 78 member B,True,True,Exon
cg24315421,MIR29B2CHG,chr1,207866908.0,"Intron (ENST00000608023.5/100128537, intron 2 of 4)",2241.0,MIR29B2 and MIR29C host gene,True,False,Intron
cg24434315,USH2A,chr1,215963874.0,"Intron (ENST00000307340.8/7399, intron 37 of 71)",459573.0,usherin,True,False,Intron
cg25019875,MIR4255,chr1,37275026.0,"Intron (ENST00000657513.1/ENST00000657513.1, intron 1 of 3)",113464.0,microRNA 4255,True,False,Intron
cg25139325,POU2F1,chr1,167222453.0,"Intron (ENST00000559038.5/5451, intron 1 of 4)",1577.0,POU class 2 homeobox 1,True,False,Intron
cg25278124,AHDC1,chr1,27552111.0,"Exon (ENST00000247087.10/27245, exon 5 of 6)",51480.0,AT-hook DNA binding motif containing 1,True,False,Exon
cg25323457,ARID1A,chr1,26723984.0,"Intron (ENST00000430799.7/8289, intron 1 of 19)",30748.0,AT-rich interaction domain 1A,True,False,Intron
cg25603344,MIR3659,chr1,38114450.0,"Intron (ENST00000428151.1/ENST00000428151.1, intron 4 of 4)",25219.0,microRNA 3659,True,False,Intron
cg25687751,SFPQ,chr1,35181211.0,"Exon (ENST00000490668.5/6421, exon 1 of 4)",6830.0,splicing factor proline and glutamine rich,True,False,Exon
cg27228973,FOXO6-AS1,chr1,41404380.0,Distal Intergenic,-28760.0,FOXO6 antisense RNA 1,False,False,Intergenic_upstream
cg27245416,ARID1A,chr1,26772876.0,"Exon (ENST00000430799.7/8289, exon 14 of 20)",79640.0,AT-rich interaction domain 1A,True,False,Exon
cg27581159,ESRRG,chr1,217089866.0,"Intron (ENST00000366940.6/2104, intron 1 of 8)",47888.0,estrogen related receptor gamma,True,False,Intron
cg27662445,PEX14,chr1,10593869.0,"Intron (ENST00000356607.9/5195, intron 3 of 8)",118919.0,peroxisomal biogenesis factor 14,True,False,Intron
cg00020468,ANK3,chr10,60070043.0,"Exon (ENST00000280772.7/288, exon 37 of 44)",319831.0,ankyrin 3,True,False,Exon
cg00900734,DOCK1,chr10,127012247.0,"Exon (ENST00000623213.1/1793, exon 12 of 52)",106838.0,dedicator of cytokinesis 1,True,False,Exon
cg01009870,EBF3,chr10,129869867.0,"Intron (ENST00000368648.7/253738, intron 8 of 15)",93973.0,EBF transcription factor 3,True,False,Intron
cg01063757,TCF7L2,chr10,113119965.0,"Intron (ENST00000627217.3/6934, intron 5 of 13)",169718.0,transcription factor 7 like 2,True,False,Intron
cg01429475,BTRC,chr10,101451718.0,"Intron (ENST00000393441.8/8945, intron 2 of 13)",97685.0,beta-transducin repeat containing E3 ubiquitin protein ligase,True,False,Intron
cg01486146,PAX2,chr10,100655554.0,Distal Intergenic,-80049.0,paired box 2,False,False,Intergenic_upstream
cg01656216,ZNF438,chr10,30984781.0,"Intron (ENST00000413025.5/220929, intron 1 of 5)",47155.0,zinc finger protein 438,True,False,Intron
cg01990759,SPOCK2,chr10,72088232.0,Promoter (<=1kb),318.0,"SPARC (osteonectin), cwcv and kazal like domains proteoglycan 2",True,True,Exon
cg02360445,MIR1915HG,chr10,21509328.0,Distal Intergenic,-12069.0,MIR1915 host gene,False,False,Intergenic_upstream
cg02553441,HECTD2,chr10,91493494.0,"Exon (ENST00000446394.5/143279, exon 15 of 22)",83209.0,HECT domain E3 ubiquitin protein ligase 2,True,False,Exon
cg04368876,LCOR,chr10,96833840.0,"Intron (ENST00000371103.8/84458, intron 2 of 7)",1558.0,ligand dependent nuclear receptor corepressor,True,False,Intron
cg04706544,DRGX,chr10,49396706.0,Promoter (<=1kb),-691.0,dorsal root ganglia homeobox,False,True,Promoter
cg05575054,ADRB1,chr10,114045209.0,"Exon (ENST00000369295.4/153, exon 1 of 1)",1343.0,adrenoceptor beta 1,True,False,Exon
cg05601676,NKX2-3,chr10,99537299.0,Distal Intergenic,4346.0,NK2 homeobox 3,False,False,Intergenic_downstream
cg05801021,DRGX,chr10,49396212.0,Promoter (<=1kb),-197.0,dorsal root ganglia homeobox,False,True,Promoter
cg06098215,NCOA4,chr10,46020119.0,"Intron (ENST00000585132.5/8031, intron 1 of 9)",3335.0,nuclear receptor coactivator 4,True,False,Intron
cg06571003,PAX2,chr10,100655668.0,Distal Intergenic,-79935.0,paired box 2,False,False,Intergenic_upstream
cg06721611,BTRC,chr10,101507443.0,"Intron (ENST00000393441.8/8945, intron 3 of 13)",153410.0,beta-transducin repeat containing E3 ubiquitin protein ligase,True,False,Intron
cg07782608,CCAR1,chr10,68756514.0,"Intron (ENST00000630771.2/55749, intron 13 of 23)",35370.0,cell division cycle and apoptosis regulator 1,True,False,Intron
cg07906193,ZRANB1,chr10,124911397.0,Distal Intergenic,-30725.0,zinc finger RANBP2-type containing 1,False,False,Intergenic_upstream
cg07938388,DRGX,chr10,49396731.0,Promoter (<=1kb),-716.0,dorsal root ganglia homeobox,False,True,Promoter
cg07978738,ABLIM1,chr10,114538580.0,"Intron (ENST00000392955.7/3983, intron 6 of 22)",145876.0,actin binding LIM protein 1,True,False,Intron
cg09161688,EBF3,chr10,129873560.0,"Exon (ENST00000368648.7/253738, exon 8 of 16)",90280.0,EBF transcription factor 3,True,False,Exon
cg09622673,BTRC,chr10,101452071.0,"Intron (ENST00000393441.8/8945, intron 2 of 13)",98038.0,beta-transducin repeat containing E3 ubiquitin protein ligase,True,False,Intron
cg10491556,HMX3,chr10,123136370.0,Promoter (<=1kb),400.0,H6 family homeobox 3,True,True,Exon
cg11352386,ZRANB1,chr10,124981719.0,"Exon (ENST00000359653.4/54764, exon 6 of 9)",39596.0,zinc finger RANBP2-type containing 1,True,False,Exon
cg11488183,PRKG1,chr10,51397876.0,"Intron (ENST00000401604.8/5592, intron 2 of 17)",406988.0,protein kinase cGMP-dependent 1,True,False,Intron
cg11541320,LINC02681,chr10,101292826.0,Distal Intergenic,-29276.0,long intergenic non-protein coding RNA 2681,False,False,Intergenic_upstream
cg12314723,BTRC,chr10,101430403.0,"Exon (ENST00000393441.8/8945, exon 2 of 14)",76370.0,beta-transducin repeat containing E3 ubiquitin protein ligase,True,False,Exon
cg12756474,TCF7L2,chr10,113120001.0,"Intron (ENST00000627217.3/6934, intron 5 of 13)",169754.0,transcription factor 7 like 2,True,False,Intron
cg12969847,NT5C2,chr10,103139465.0,"Exon (ENST00000404739.7/22978, exon 2 of 17)",35516.0,"5'-nucleotidase, cytosolic II",True,False,Exon
cg13285426,CPEB3,chr10,92091835.0,"Exon (ENST00000412050.8/22849, exon 8 of 10)",151410.0,cytoplasmic polyadenylation element binding protein 3,True,False,Exon
cg13935834,EBF3,chr10,129849719.0,"Intron (ENST00000368648.7/253738, intron 10 of 15)",114121.0,EBF transcription factor 3,True,False,Intron
cg14517144,HNRNPH3,chr10,68338663.0,"Exon (ENST00000469172.5/3189, exon 2 of 8)",7489.0,heterogeneous nuclear ribonucleoprotein H3,True,False,Exon
cg15330117,GATA3,chr10,8054706.0,5' UTR,9328.0,GATA binding protein 3,True,False,fiveUTR
cg15597031,CRTAC1,chr10,97982587.0,"Intron (ENST00000370597.8/55118, intron 2 of 14)",48033.0,cartilage acidic protein 1,True,False,Intron
cg15686078,PAX2,chr10,100668277.0,Distal Intergenic,-67326.0,paired box 2,False,False,Intergenic_upstream
cg16011662,BUB3,chr10,123305174.0,Distal Intergenic,142921.0,BUB3 mitotic checkpoint protein,False,False,Intergenic_downstream
cg16100840,PAX2,chr10,100707267.0,Distal Intergenic,-28335.0,paired box 2,False,False,Intergenic_upstream
cg16391501,PAX2,chr10,100654689.0,Distal Intergenic,-80914.0,paired box 2,False,False,Intergenic_upstream
cg16423684,LRMDA,chr10,75693577.0,"Intron (ENST00000611255.5/83938, intron 2 of 6)",261953.0,leucine rich melanocyte differentiation associated,True,False,Intron
cg16671190,KCNMA1-AS1,chr10,76944864.0,3' UTR,56788.0,KCNMA1 antisense RNA 1,True,False,threeUTR
cg17143801,MGMT,chr10,129648217.0,"Intron (ENST00000306010.8/4255, intron 2 of 4)",181027.0,O-6-methylguanine-DNA methyltransferase,True,False,Intron
